================================================================================
KENYA COFFEE FACTORY MANAGEMENT SYSTEM
COMPLETE FARMER CREDENTIALS LIST
================================================================================

No.   Username                  Password        Full Name                      Member No.   Phone          
------------------------------------------------------------------------------------------------------
1     kiprono1                  farmer1           Kiprono Cheruiyot              FARM0001     +254712000001  
2     kipchumba2                farmer2           Kipchumba Kemboi               FARM0002     +254712000002  
3     chepkoech3                farmer3           Chepkoech Rotich               FARM0003     +254712000003  
4     jepkemoi4                 farmer4           Jepkemoi Kipruto               FARM0004     +254712000004  
5     kipngetich5               farmer5           Kipngetich Bett                FARM0005     +254712000005  
6     chebet6                   farmer6           Chebet Kiprotich               FARM0006     +254712000006  
7     kiptanui7                 farmer7           Kiptanui Kimutai               FARM0007     +254712000007  
8     jepchirchir8              farmer8           Jepchirchir Koech              FARM0008     +254712000008  
9     kipkemboi9                farmer9           Kipkemboi Tanui                FARM0009     +254712000009  
10    chepngeno10               farmer10          Chepngeno Kiplagat             FARM0010     +254712000010  
11    kamau11                   farmer11          Kamau Njoroge                  FARM0011     +254713000001  
12    wanjiku12                 farmer12          Wanjiku Wambui                 FARM0012     +254713000002  
13    njeri13                   farmer13          Njeri Mwangi                   FARM0013     +254713000003  
14    wanjiru14                 farmer14          Wanjiru Kamande                FARM0014     +254713000004  
15    nyambura15                farmer15          Nyambura Gathogo               FARM0015     +254713000005  
16    muthoni16                 farmer16          Muthoni Ndung'u                FARM0016     +254713000006  
17    wambui17                  farmer17          Wambui Kariuki                 FARM0017     +254713000007  
18    njoki18                   farmer18          Njoki Maina                    FARM0018     +254713000008  
19    wangari19                 farmer19          Wangari Macharia               FARM0019     +254713000009  
20    mumbi20                   farmer20          Mumbi Gitonga                  FARM0020     +254713000010  
21    otieno21                  farmer21          Otieno Omondi                  FARM0021     +254714000001  
22    achieng22                 farmer22          Achieng Odhiambo               FARM0022     +254714000002  
23    ochieng23                 farmer23          Ochieng Okoth                  FARM0023     +254714000003  
24    adhiambo24                farmer24          Adhiambo Owino                 FARM0024     +254714000004  
25    onyango25                 farmer25          Onyango Oluoch                 FARM0025     +254714000005  
26    akinyi26                  farmer26          Akinyi Obonyo                  FARM0026     +254714000006  
27    odhiambo27                farmer27          Odhiambo Onyango               FARM0027     +254714000007  
28    atieno28                  farmer28          Atieno Ogolla                  FARM0028     +254714000008  
29    owuor29                   farmer29          Owuor Opiyo                    FARM0029     +254714000009  
30    awino30                   farmer30          Awino Otieno                   FARM0030     +254714000010  
31    wafula31                  farmer31          Wafula Wekesa                  FARM0031     +254715000001  
32    nasimiyu32                farmer32          Nasimiyu Wanjala               FARM0032     +254715000002  
33    wamalwa33                 farmer33          Wamalwa Simiyu                 FARM0033     +254715000003  
34    nekesa34                  farmer34          Nekesa Barasa                  FARM0034     +254715000004  
35    wanjala35                 farmer35          Wanjala Wafula                 FARM0035     +254715000005  
36    nanjala36                 farmer36          Nanjala Wamalwa                FARM0036     +254715000006  
37    sikuku37                  farmer37          Sikuku Wekesa                  FARM0037     +254715000007  
38    nelima38                  farmer38          Nelima Simiyu                  FARM0038     +254715000008  
39    barasa39                  farmer39          Barasa Wanjala                 FARM0039     +254715000009  
40    naliaka40                 farmer40          Naliaka Wafula                 FARM0040     +254715000010  
41    mutuku41                  farmer41          Mutuku Muthoka                 FARM0041     +254716000001  
42    mueni42                   farmer42          Mueni Kioko                    FARM0042     +254716000002  
43    muthama43                 farmer43          Muthama Mutua                  FARM0043     +254716000003  
44    kalekye44                 farmer44          Kalekye Musyoka                FARM0044     +254716000004  
45    mutua45                   farmer45          Mutua Mwikali                  FARM0045     +254716000005  
46    mwikali46                 farmer46          Mwikali Mutuku                 FARM0046     +254716000006  
47    musyoka47                 farmer47          Musyoka Muthama                FARM0047     +254716000007  
48    kamene48                  farmer48          Kamene Mutua                   FARM0048     +254716000008  
49    kioko49                   farmer49          Kioko Muthoka                  FARM0049     +254716000009  
50    mutheu50                  farmer50          Mutheu Musyoka                 FARM0050     +254716000010  
